"","country","year","cellphones"
"4035","Romania","1979",0
"4036","Russia","1979",0
"4037","Rwanda","1979",0
"4038","St. Barthélemy","1979",0
"4039","St. Helena","1979",0
"4040","St. Kitts and Nevis","1979",0
"4041","St. Lucia","1979",0
"4042","St. Martin","1979",0
"4043","St. Vincent and the Grenadines","1979",0
"4044","St.-Pierre-et-Miquelon","1979",0
"4045","Samoa","1979",0
"4046","San Marino","1979",0
"4047","Sao Tome and Principe","1979",0
"4048","Saudi Arabia","1979",0
"4049","Senegal","1979",0
"4050","Serbia","1979",0
"4051","Serbia and Montenegro","1979",0
"4052","Serbia excluding Kosovo","1979",0
"4053","Seychelles","1979",0
"4054","Sierra Leone","1979",0
"4055","Singapore","1979",0
"4056","Slovak Republic","1979",0
"4057","Slovenia","1979",0
"4058","Solomon Islands","1979",0
"4059","Somalia","1979",0
"4060","Somaliland","1979",0
"4061","South Africa","1979",0
"4062","South Ossetia","1979",0
"4063","Spain","1979",0
"4064","Sri Lanka","1979",0
"4065","Sudan","1979",0
"4066","Suriname","1979",0
"4067","Svalbard","1979",0
"4068","Swaziland","1979",0
"4069","Sweden","1979",0
"4070","Switzerland","1979",0
"4071","Syria","1979",0
"4072","Taiwan","1979",0
"4073","Tajikistan","1979",0
"4074","Tanzania","1979",0
"4075","Thailand","1979",0
"4076","Timor-Leste","1979",0
"4077","Togo","1979",0
"4078","Tokelau","1979",0
"4079","Tonga","1979",0
"4080","Transnistria","1979",0
"4081","Trinidad and Tobago","1979",0
"4082","Tunisia","1979",0
"4083","Turkey","1979",0
"4084","Turkmenistan","1979",0
"4085","Turks and Caicos Islands","1979",0
"4086","Tuvalu","1979",0
"4087","Uganda","1979",0
"4088","Ukraine","1979",0
"4089","United Arab Emirates","1979",0
"4090","United Kingdom","1979",0
"4091","United States","1979",0
"4092","Uruguay","1979",0
"4093","USSR","1979",0
"4094","Uzbekistan","1979",0
"4095","Wallis et Futuna","1979",0
"4096","Vanuatu","1979",0
"4097","Venezuela","1979",0
"4098","West Bank and Gaza","1979",0
"4099","West Germany","1979",0
"4100","Western Sahara","1979",0
"4101","Vietnam","1979",0
"4102","Virgin Islands (U.S.)","1979",0
"4103","North Yemen (former)","1979",0
"4104","South Yemen (former)","1979",0
"4105","Yemen","1979",0
"4106","Yugoslavia","1979",0
"4107","Zambia","1979",0
"4108","Zimbabwe","1979",0
"4109","Åland","1979",0
"4110","South Sudan","1979",0
"4111","Christian","1979",0
"4112","Coastline","1979",0
"4113","Curaçao","1979",0
"4114","Sint Maarten (Dutch part)","1979",0
"4115","St. Martin (French part)","1979",0
"4116","Antarctica","1979",0
"4117","Virgin Islands, British","1979",0
"4118","Hawaiian Trade Zone","1979",0
"4119","U.S. Pacific Islands","1979",0
"4120","Wake Island","1979",0
"4121","Bonaire","1979",0
"4122","Sark","1979",0
"4123","Chinese Taipei","1979",0
"4124","Saint Eustatius","1979",0
"4125","Saba","1979",0
"4126","Abkhazia","1980",0
"4127","Afghanistan","1980",0
"4128","Akrotiri and Dhekelia","1980",0
"4129","Albania","1980",0
"4130","Algeria","1980",0
"4131","American Samoa","1980",0
"4132","Andorra","1980",0
"4133","Angola","1980",0
"4134","Anguilla","1980",0
"4135","Antigua and Barbuda","1980",0
"4136","Argentina","1980",0
"4137","Armenia","1980",0
"4138","Aruba","1980",0
"4139","Australia","1980",0
"4140","Austria","1980",0
"4141","Azerbaijan","1980",0
"4142","Bahamas","1980",0
"4143","Bahrain","1980",0
"4144","Bangladesh","1980",0
"4145","Barbados","1980",0
"4146","Belarus","1980",0
"4147","Belgium","1980",0
"4148","Belize","1980",0
"4149","Benin","1980",0
"4150","Bermuda","1980",0
"4151","Bhutan","1980",0
"4152","Bolivia","1980",0
"4153","Bosnia and Herzegovina","1980",0
"4154","Botswana","1980",0
"4155","Brazil","1980",0
"4156","British Virgin Islands","1980",0
"4157","Brunei","1980",0
"4158","Bulgaria","1980",0
"4159","Burkina Faso","1980",0
"4160","Burundi","1980",0
"4161","Cambodia","1980",0
"4162","Cameroon","1980",0
"4163","Canada","1980",0
"4164","Cape Verde","1980",0
"4165","Cayman Islands","1980",0
"4166","Central African Republic","1980",0
"4167","Chad","1980",0
"4168","Channel Islands","1980",0
"4169","Chile","1980",0
"4170","China","1980",0
"4171","Christmas Island","1980",0
"4172","Cocos Island","1980",0
"4173","Colombia","1980",0
"4174","Comoros","1980",0
"4175","Congo, Dem. Rep.","1980",0
"4176","Congo, Rep.","1980",0
"4177","Cook Is","1980",0
"4178","Costa Rica","1980",0
